Placering;Teknisk plads;Equipment;Betegnelse;Skinnestreng;Spornummer;Fra kilometer;GPS_NORTH;GPS_EAST;Placering_Lokation
KH;011000-SPOR 01.02.1;10740223;Isolerklæbestød Km 0,278  spor 01.02.1 H;;01.02.1;0,278 Km;55,670071000;12,567274000;SPOR
KH;011000-SPOR 01.02.1;10740224;Isolerklæbestød Km 0,278  spor 01.02.1 V;Venstre;01.02.1;0,278 Km;55,670071000;12,567279000;SPOR
KH;011000-SPOR 01.20.1;10740221;Isolerklæbestød Km 0,571  spor 01.20.1 H;;01.20.1;0,571 Km;55,667151000;12,565305000;SPOR
KH;011000-SPOR 01.20.1;10740222;Isolerklæbestød Km 0,571  spor 01.20.1 V;Venstre;01.20.1;0,571 Km;55,667144000;12,565325000;SPOR
KH;011000-SPOR 02.01.1;10331908;Isolerklæbestød km 0,268  sp 02.01.1 H;Højre;02.01.1;0,268 Km;55,670211080;12,567244330;SPOR
KH;011000-SPOR 02.01.1;10331912;Isolerklæbestød km 0,284  sp 02.01.1 H;Højre;02.01.1;0,284 Km;55,670045040;12,567259000;SPOR
KH;011000-SPOR 02.01.1;10331917;Isolerklæbestød km 0,308  sp 02.01.1 H;Højre;02.01.1;0,308 Km;55,669788820;12,567255240;SPOR
KH;011000-SPOR 02.01.1;10331919;Isolerklæbestød km 0,315  sp 02.01.1 H;Højre;02.01.1;0,315 Km;55,669713910;12,567252470;SPOR
KH;011000-SPOR 02.01.1;10336969;Isolerklæbestød km 0,268  sp 02.01.1 V;Venstre;02.01.1;0,268 Km;55,670211760;12,567267100;SPOR
KH;011000-SPOR 02.01.1;10336974;Isolerklæbestød km 0,284  sp 02.01.1 V;Venstre;02.01.1;0,284 Km;55,670045140;12,567281790;SPOR
KH;011000-SPOR 02.01.1;10336978;Isolerklæbestød km 0,315  sp 02.01.1 V;Venstre;02.01.1;0,315 Km;55,669713640;12,567275260;SPOR
KH;011000-SPOR 02.040.1;10180591;Isolerklæbestød spor 2;Højre;02.040.1;0,400 Km;55,668990000;12,566729000;
KH;011000-SPOR 040.015.1;10180592;Isolerklæbestød: H;;;;;;
KH;011000-SPOR 040.015.1;10184203;Isolerklæbestød: V;;;;;;
KH;011000-SPOR 05.06.1;10243542;Isolerklæbestød: H;;;;;;
KH;011000-SPOR 05.06.1;10243543;Isolerklæbestød: V;;;;;;
KH;011000-SPOR 050.01.1;10332032;Isolerklæbestød km 1,136  sp 050.01.1 H;Højre;050.01.1;1,136 Km;55,664056500;12,558368360;SPOR
KH;011000-SPOR 050.01.1;10337074;Isolerklæbestød km 1,136  sp 050.01.1 V;Venstre;050.01.1;1,136 Km;55,664045710;12,558380800;SPOR
KH;011000-SPOR 050.051.1;10180596;Isolerklæbestød: H;;;;;;
KH;011000-SPOR 050.051.1;10184207;Isolerklæbestød: V;;;;;;
KH;011000-SPOR 051.050.1;10332017;Isolerklæbestød km 0,937  spor 051.050.1;;051.050.1;0,937 Km;55,665263320;12,560903330;SPOR
KH;011000-SPOR 051.050.1;10332018;Isolerklæbestød km 0,960  sp 051.050.1 H;Højre;051.050.1;0,960 Km;55,665134130;12,560638390;SPOR
KH;011000-SPOR 051.050.1;10332019;Isolerklæbestød km 0,970  sp 051.050.1 H;Højre;051.050.1;0,970 Km;55,665075910;12,560526560;SPOR
KH;011000-SPOR 051.050.1;10337061;Isolerklæbestød km 0,937  spor 051.050.1;;051.050.1;0,937 Km;55,665263320;12,560903330;SPOR
KH;011000-SPOR 051.050.1;10337063;Isolerklæbestød km 0,960  sp 051.050.1 V;Venstre;051.050.1;0,960 Km;55,665124660;12,560653840;SPOR
KH;011000-SPOR 051.050.1;10337064;Isolerklæbestød km 0,970  sp 051.050.1 V;Venstre;051.050.1;0,970 Km;55,665066430;12,560542000;SPOR
KH;011000-SPOR 051.052.1;10180599;Isolerklæbestød: H;;;;;;
KH;011000-SPOR 051.052.1;10184210;Isolerklæbestød: V;;;;;;
KH;011000-SPOR 052.051.1;10332011;Isolerklæbestød km 0,848  spor 052.051.1;;052.051.1;0,848 Km;55,665781920;12,561962840;SPOR
KH;011000-SPOR 052.051.1;10332013;Isolerklæbestød km 0,864  spor 052.051.1;;052.051.1;0,864 Km;55,665680990;12,561783600;SPOR
KH;011000-SPOR 052.051.1;10337056;Isolerklæbestød km 0,848  spor 052.051.1;;052.051.1;0,848 Km;55,665781920;12,561962840;SPOR
KH;011000-SPOR 052.051.1;10337057;Isolerklæbestød km 0,864  spor 052.051.1;;052.051.1;0,864 Km;55,665680990;12,561783600;SPOR
KH;011000-SPOR 052.057.1;10180601;Isolerklæbestød: H;;;;;;
KH;011000-SPOR 052.057.1;10184212;Isolerklæbestød: V;;;;;;
KH;011000-SPOR 064.082.1;10180602;Isolerklæbestød: H;;;;;;
KH;011000-SPOR 064.082.1;10184213;Isolerklæbestød: V;;;;;;
KH;011000-SPOR 066.06.1;10332044;Isolerklæbestød km 1,251  sp 066.06.1 H;Højre;066.06.1;1,251 Km;55,664121820;12,556364120;SPOR
KH;011000-SPOR 066.06.1;10332045;Isolerklæbestød km 1,264  sp 066.06.1 H;Højre;066.06.1;1,264 Km;55,664113090;12,556136970;SPOR
KH;011000-SPOR 066.06.1;10332047;Isolerklæbestød km 1,272  sp 066.06.1 H;Højre;066.06.1;1,272 Km;55,664108270;12,555996890;SPOR
KH;011000-SPOR 066.06.1;10337084;Isolerklæbestød km 1,252  sp 066.06.1 V;Venstre;066.06.1;1,252 Km;55,664108230;12,556348330;SPOR
KH;011000-SPOR 066.06.1;10337085;Isolerklæbestød km 1,264  sp 066.06.1 V;Venstre;066.06.1;1,264 Km;55,664100220;12,556138160;SPOR
KH;011000-SPOR 066.06.1;10337088;Isolerklæbestød km 1,272  sp 066.06.1 V;Venstre;066.06.1;1,272 Km;55,664095410;12,555998390;SPOR
KH;011000-SPOR 066.064.1;10180603;Isolerklæbestød: H;;;;;;
KH;011000-SPOR 066.064.1;10184214;Isolerklæbestød: V;;;;;;
KH;011000-SPOR 07.06.1;10180605;Isolerklæbestød: H;;;;;;
KH;011000-SPOR 07.06.1;10184216;Isolerklæbestød: V;;;;;;
KH;011000-SPOR 074.070.1;10180606;Isolerklæbestød: H;;;;;;
KH;011000-SPOR 074.070.1;10184217;Isolerklæbestød: V;;;;;;
KH;011000-SPOR 078.075.1;10180607;Isolerklæbestød: H;;;;;;
KH;011000-SPOR 078.075.1;10184218;Isolerklæbestød: V;;;;;;
KH;011000-SPOR 082.085.1;10180608;Isolerklæbestød: H;;;;;;
KH;011000-SPOR 082.085.1;10184219;Isolerklæbestød: V;;;;;;
KH;011000-SPOR 1;10740244;Isolerklæbestød Km 0,158  spor 1 H;;1;0,158 Km;55,671502000;12,566919000;SPOR
KH;011000-SPOR 1;10740245;Isolerklæbestød Km 0,158  spor 1 V;Venstre;1;0,158 Km;55,671506000;12,566941000;SPOR
KH;011000-SPOR 1.23.1;10740225;Isolerklæbestød Km 0,752  spor 1.23.1 H;;1.23.1;0,752 Km;55,666038000;12,563542000;SPOR
KH;011000-SPOR 1.23.1;10740226;Isolerklæbestød Km 0,752  spor 1.23.1 V;Venstre;1.23.1;0,752 Km;55,666026000;12,563554000;SPOR
KH;011000-SPOR 15;10180615;Isolerklæbestød: H;;;;;;
KH;011000-SPOR 15;10184226;Isolerklæbestød: V;;;;;;
KH;011000-SPOR 16;10740227;Isolerklæbestød Km 0,752  spor 16 H;;16;0,752 Km;55,666070000;12,563489000;SPOR
KH;011000-SPOR 16;10740228;Isolerklæbestød Km 0,375  spor 16 H;;16;0,375 Km;55,668648000;12,566748000;SPOR
KH;011000-SPOR 16;10740229;Isolerklæbestød Km 0,375  spor 16 V;Venstre;16;0,375 Km;55,668644000;12,566775000;SPOR
KH;011000-SPOR 16;10740230;Isolerklæbestød Km 0,524  spor 16 H;;16;0,524 Km;55,667707000;12,565949000;SPOR
KH;011000-SPOR 16;10740231;Isolerklæbestød Km 0,524  spor 16 V;Venstre;16;0,524 Km;55,667701000;12,565965000;SPOR
KH;011000-SPOR 16;10740232;Isolerklæbestød Km 0,625  spor 16 H;;16;0,625 Km;55,666926000;12,564948000;SPOR
KH;011000-SPOR 16;10740233;Isolerklæbestød Km 0,803  spor 16 V;Venstre;16;0,803 Km;55,665785000;12,562895000;SPOR
KH;011000-SPOR 16;10740234;Isolerklæbestød Km 0,833  spor 16 H;;16;0,833 Km;55,665625000;12,562496000;SPOR
KH;011000-SPOR 16;10740235;Isolerklæbestød Km 1,094  spor 16 H;;16;1,094 Km;55,664162000;12,559007000;SPOR
KH;011000-SPOR 16;10740236;Isolerklæbestød Km 1,140  spor 16 H;;16;1,140 Km;55,663988000;12,558341000;SPOR
KH;011000-SPOR 16;10740237;Isolerklæbestød Km 1,140  spor 16 V;Venstre;16;1,140 Km;55,663977000;12,558349000;SPOR
KH;011000-SPOR 16;10740238;Isolerklæbestød Km 1,239  spor 16 H;;16;1,239 Km;55,663720000;12,556728000;SPOR
KH;011000-SPOR 16;10740239;Isolerklæbestød Km 1,239  spor 16 V;Venstre;16;1,239 Km;55,663708000;12,556731000;SPOR
KH;011000-SPOR 16;10740240;Isolerklæbestød Km 1,431  spor 16 H;;16;1,431 Km;55,663451000;12,553598000;SPOR
KH;011000-SPOR 16;10740241;Isolerklæbestød Km 1,431  spor 16 V;Venstre;16;1,431 Km;55,663441000;12,553600000;SPOR
KH;011000-SPOR 16;10740242;Isolerklæbestød Km 1,637  spor 16 H;;16;1,637 Km;55,663122000;12,550383000;SPOR
KH;011000-SPOR 16;10740243;Isolerklæbestød Km 1,637  spor 16 V;Venstre;16;1,637 Km;55,663109000;12,550388000;SPOR
KH;011000-SPOR 2;10331891;Isolerklæbestød km 0,138  spor 2 H;Højre;2;0,138 Km;55,671470250;12,566748660;SPOR
KH;011000-SPOR 2;10331906;Isolerklæbestød km 0,257  spor 2 H;Højre;2;0,257 Km;55,670323100;12,567233200;SPOR
KH;011000-SPOR 2;10336956;Isolerklæbestød km 0,138  spor 2 V;Venstre;2;0,138 Km;55,671475050;12,566769820;SPOR
KH;011000-SPOR 2;10336966;Isolerklæbestød km 0,251  spor 2 V;Venstre;2;0,251 Km;55,670383630;12,567249570;SPOR
KH;011000-SPOR 2;10740246;Isolerklæbestød Km 0,158  spor 2 H;;2;0,158 Km;55,671479000;12,566773000;SPOR
KH;011000-SPOR 2;10740247;Isolerklæbestød Km 0,158  spor 2 V;Venstre;2;0,158 Km;55,671473000;12,566746000;SPOR
KH;011000-SPOR 20;10331928;Isolerklæbestød km 0,350  spor 20 H;Højre;20;0,350 Km;55,669368340;12,567207740;SPOR
KH;011000-SPOR 20;10331938;Isolerklæbestød km 0,386  spor 20 H;Højre;20;0,386 Km;55,669012830;12,567074150;SPOR
KH;011000-SPOR 20;10331945;Isolerklæbestød km 0,404  spor 20 H;Højre;20;0,404 Km;55,668844070;12,566981540;SPOR
KH;011000-SPOR 20;10336987;Isolerklæbestød km 0,350  spor 20 V;Venstre;20;0,350 Km;55,669356900;12,567228100;SPOR
KH;011000-SPOR 20;10336995;Isolerklæbestød km 0,387  spor 20 V;Venstre;20;0,387 Km;55,669000040;12,567091680;SPOR
KH;011000-SPOR 20;10337003;Isolerklæbestød km 0,405  spor 20 V;Venstre;20;0,405 Km;55,668830720;12,566997750;SPOR
KH;011000-SPOR 21;10528368;Isolerklæbestød: H;;;;;;
KH;011000-SPOR 21;10528369;Isolerklæbestød: V;;;;;;
KH;011000-SPOR 22;10180617;Isolerklæbestød: H;;;;;;
KH;011000-SPOR 22;10184228;Isolerklæbestød: V;;;;;;
KH;011000-SPOR 23;10464069;Isolerklæbestød km 0,740  spor 23 H;Højre;23;0,740 Km;55,666109720;12,563837370;SPOR
KH;011000-SPOR 23;10464070;Isolerklæbestød km 0,740  spor 23 V;Venstre;23;0,740 Km;55,666099560;12,563851390;SPOR
KH;011000-SPOR 24;10180618;Isolerklæbestød: H;;;;;;
KH;011000-SPOR 24;10184229;Isolerklæbestød: V;;;;;;
KH;011000-SPOR 25;10464063;Isolerklæbestød km 0,790  spor 25 H;Højre;25;0,790 Km;55,665774270;12,563264900;SPOR
KH;011000-SPOR 25;10464064;Isolerklæbestød km 0,790  spor 25 V;Venstre;25;0,790 Km;55,665764380;12,563279520;SPOR
KH;011000-SPOR 3;10740248;Isolerklæbestød Km 0,158  spor 3 H;;3;0,158 Km;55,671452000;12,566635000;SPOR
KH;011000-SPOR 3;10740249;Isolerklæbestød Km 0,158  spor 3 V;Venstre;3;0,158 Km;55,671457000;12,566658000;SPOR
KH;011000-SPOR 30;10331957;Isolerklæbestød km 0,461  spor 30 H;Højre;30;0,461 Km;55,668386540;12,566217700;SPOR
KH;011000-SPOR 30;10331960;Isolerklæbestød km 0,469  spor 30 H;Højre;30;0,469 Km;55,668311770;12,566181900;SPOR
KH;011000-SPOR 30;10337014;Isolerklæbestød km 0,460  spor 30 V;Venstre;30;0,460 Km;55,668392700;12,566244060;SPOR
KH;011000-SPOR 30;10337016;Isolerklæbestød km 0,469  spor 30 V;Venstre;30;0,469 Km;55,668308400;12,566203910;SPOR
KH;011000-SPOR 4;10180622;Isolerklæbestød: H;;;;;;
KH;011000-SPOR 4;10184233;Isolerklæbestød: V;;;;;;
KH;011000-SPOR 40;10331963;Isolerklæbestød km 0,489  spor 40 H;Højre;40;0,489 Km;55,668102740;12,566050880;SPOR
KH;011000-SPOR 40;10331972;Isolerklæbestød km 0,550  spor 40 H;Højre;40;0,550 Km;55,667586160;12,565516170;SPOR
KH;011000-SPOR 40;10331983;Isolerklæbestød km 0,616  spor 40 H;Højre;40;0,616 Km;55,667114800;12,564865530;SPOR
KH;011000-SPOR 40;10337019;Isolerklæbestød km 0,489  spor 40 V;Venstre;40;0,489 Km;55,668097940;12,566072040;SPOR
KH;011000-SPOR 40;10337025;Isolerklæbestød km 0,550  spor 40 V;Venstre;40;0,550 Km;55,667578500;12,565534510;SPOR
KH;011000-SPOR 40;10337035;Isolerklæbestød km 0,616  spor 40 V;Venstre;40;0,616 Km;55,667106870;12,564883500;SPOR
KH;011000-SPOR 41;10331954;Isolerklæbestød km 0,449  spor 41 H;Højre;41;0,449 Km;55,668516940;12,566199130;SPOR
KH;011000-SPOR 41;10331979;Isolerklæbestød km 0,580  spor 41 H;Højre;41;0,580 Km;55,667426680;12,565206010;SPOR
KH;011000-SPOR 41;10337011;Isolerklæbestød km 0,449  spor 41 V;Venstre;41;0,449 Km;55,668513740;12,566221220;SPOR
KH;011000-SPOR 41;10337031;Isolerklæbestød km 0,580  spor 41 V;Venstre;41;0,580 Km;55,667418750;12,565223990;SPOR
KH;011000-SPOR 45;10331955;Isolerklæbestød km 0,453  spor 45 H;Højre;45;0,453 Km;;;SPOR
KH;011000-SPOR 45;10331991;Isolerklæbestød km 0,690  spor 45 H;Højre;45;0,690 Km;;;SPOR
KH;011000-SPOR 45;10507947;Isolerklæbestød km 0,400  spor 45 H;Højre;45;0,400 Km;55,668977700;12,566304700;SPOR
KH;011000-SPOR 45;10507948;Isolerklæbestød km 0,728  spor 45 H;Højre;45;0,728 Km;;;SPOR
KH;011000-SPOR 46;10507950;Isolerklæbestød km 0,494  spor 46 H;Højre;46;0,494 Km;;;SPOR
KH;011000-SPOR 46;10507951;Isolerklæbestød km 0,663  spor 46 H;Højre;46;0,663 Km;;;SPOR
KH;011000-SPOR 46;10507952;Isolerklæbestød km 0,536  spor 46 V;Venstre;46;0,536 Km;;;SPOR
KH;011000-SPOR 47;10507955;Isolerklæbestød km 0,519  spor 47 H;Højre;47;0,519 Km;;;SPOR
KH;011000-SPOR 47;10507956;Isolerklæbestød km 0,607  spor 47 H;Højre;47;0,607 Km;;;SPOR
KH;011000-SPOR 48;10507959;Isolerklæbestød km 0,494  spor 48 H;Højre;48;0,494 Km;;;SPOR
KH;011000-SPOR 5;10331904;Isolerklæbestød km 0,249  spor 5 H;Højre;5;0,249 Km;55,670386260;12,566690840;SPOR
KH;011000-SPOR 5;10331914;Isolerklæbestød km 0,290  spor 5 H;Højre;5;0,290 Km;55,669995890;12,566636630;SPOR
KH;011000-SPOR 5;10336965;Isolerklæbestød km 0,249  spor 5 V;Venstre;5;0,249 Km;55,670385720;12,566713620;SPOR
KH;011000-SPOR 5;10336976;Isolerklæbestød km 0,290  spor 5 V;Venstre;5;0,290 Km;55,669994820;12,566659350;SPOR
KH;011000-SPOR 5;10740250;Isolerklæbestød Km 0,180  spor 5 V;Venstre;5;0,180 Km;55,670951000;12,566586000;SPOR
KH;011000-SPOR 5;10740251;Isolerklæbestød Km 0,180  spor 5 H;Højre;5;0,180 Km;55,670911000;12,566403000;SPOR
KH;011000-SPOR 5;10740254;Isolerklæbestød Km 0,105  spor 5 H;;5;0,105 Km;55,671662000;12,566119000;SPOR
KH;011000-SPOR 5;10740255;Isolerklæbestød Km 0,105  spor 5 V;Venstre;5;0,105 Km;55,671669000;12,566133000;SPOR
KH;011000-SPOR 50 (KPM1);10463898;Isolerklæbestød km 0,659  spor 50 H;Højre;50;0,659 Km;55,666821260;12,564401410;SPOR
KH;011000-SPOR 50 (KPM1);10463899;Isolerklæbestød km 0,739  spor 50 H;Højre;50;0,739 Km;55,666344000;12,563375750;SPOR
KH;011000-SPOR 50 (KPM1);10463900;Isolerklæbestød km 0,777  spor 50 H;Højre;50;0,777 Km;55,666127760;12,562894600;SPOR
KH;011000-SPOR 50 (KPM1);10463901;Isolerklæbestød km 0,833  spor 50 H;Højre;50;0,833 Km;55,665820770;12,562213100;SPOR
KH;011000-SPOR 50 (KPM1);10463902;Isolerklæbestød km 0,913  spor 50 H;Højre;50;0,913 Km;55,665382210;12,561239550;SPOR
KH;011000-SPOR 50 (KPM1);10463903;Isolerklæbestød km 1,014  spor 50 H;Højre;50;1,014 Km;55,664800530;12,559946740;SPOR
KH;011000-SPOR 50 (KPM1);10463904;Isolerklæbestød km 1,056  spor 50 H;Højre;50;1,056 Km;55,664533940;12,559355930;SPOR
KH;011000-SPOR 50 (KPM1);10463905;Isolerklæbestød km 1,096  spor 50 H;Højre;50;1,096 Km;55,664314780;12,558837050;SPOR
KH;011000-SPOR 50 (KPM1);10463906;Isolerklæbestød km 1,374  spor 50 H;Højre;50;1,374 Km;55,663641560;12,554550690;SPOR
KH;011000-SPOR 50 (KPM1);10463907;Isolerklæbestød km 1,400  spor 50 H;Højre;50;1,400 Km;55,663602230;12,554134270;SPOR
KH;011000-SPOR 50 (KPM1);10463908;Isolerklæbestød km 1,514  spor 50 H;Højre;50;1,514 Km;55,663267570;12,552384220;SPOR
KH;011000-SPOR 50 (KPM1);10463912;Isolerklæbestød km 0,659  spor 50 V;Venstre;50;0,659 Km;55,666812060;12,564417370;SPOR
KH;011000-SPOR 50 (KPM1);10463913;Isolerklæbestød km 0,739  spor 50 V;Venstre;50;0,739 Km;55,666333900;12,563389920;SPOR
KH;011000-SPOR 50 (KPM1);10463914;Isolerklæbestød km 0,777  spor 50 V;Venstre;50;0,777 Km;55,666117680;12,562908810;SPOR
